,outcome,nestingvariable,phylogeny,contrast lower,contrast upper
58,relaxed,dimorphic male_skew,no,-0.927431295,0.061400329
59,relaxed,no dimorphic male_skew,yes,0.85799344,2.6752962
60,relaxed,dimorphic male_skew,yes,-1.27557485,0.070515237
61,perc_won,no dimorphic env_harshness,no,0.528130565,0.75220173
62,perc_won,dimorphic env_harshness,no,-0.52266964,-0.3891223
63,perc_won,no dimorphic env_harshness,yes,-2.05332145,0.008604962
64,perc_won,dimorphic env_harshness,yes,-1.52453545,-0.381925215
65,strict,no dimorphic env_harshness,no,-0.23966183,1.3109503
66,strict,dimorphic env_harshness,no,-0.726695965,-0.083303908
67,strict,no dimorphic env_harshness,yes,-0.27652236,1.33045695
68,strict,dimorphic env_harshness,yes,-0.776030715,-0.056849812
69,relaxed,no dimorphic env_harshness,no,-0.187486425,1.05640355
70,relaxed,dimorphic env_harshness,no,-0.6770477,0.243602495
71,relaxed,no dimorphic env_harshness,yes,-1.5525951,-0.059787551
72,relaxed,dimorphic env_harshness,yes,-0.753921845,0.15995614
73,perc_won,no dimorphic rainfall_unpredictability,no,-0.29165336,-0.17733226
74,perc_won,dimorphic rainfall_unpredictability,no,-0.283945465,-0.14919458
75,perc_won,no dimorphic rainfall_unpredictability,yes,-1.33601285,0.23463709
76,perc_won,dimorphic rainfall_unpredictability,yes,-0.51969991,0.784672725
77,strict,no dimorphic rainfall_unpredictability,no,-1.0135331,0.055980042
78,strict,dimorphic rainfall_unpredictability,no,-0.71999935,-0.014840084
79,strict,no dimorphic rainfall_unpredictability,yes,-1.04422965,0.028569474
80,strict,dimorphic rainfall_unpredictability,yes,-0.82950727,-0.008844767
81,relaxed,no dimorphic rainfall_unpredictability,no,-0.747189575,0.231317415
82,relaxed,dimorphic rainfall_unpredictability,no,-0.798349255,0.146242315
83,relaxed,no dimorphic rainfall_unpredictability,yes,-1.64066915,-0.325281735
84,relaxed,dimorphic rainfall_unpredictability,yes,-0.81833059,0.112848785
85,perc_won,no dimorphic female_canine_height,no,0.249257825,0.41540806
86,perc_won,dimorphic female_canine_height,no,-0.6573746,-0.49402686
87,perc_won,no dimorphic female_canine_height,yes,-1.3996922,-0.324102105
88,perc_won,dimorphic female_canine_height,yes,-1.15790495,-0.339189725
89,strict,no dimorphic female_canine_height,no,-0.32894211,0.752185255
90,strict,dimorphic female_canine_height,no,-0.97956082,-0.23435997
91,strict,no dimorphic female_canine_height,yes,-0.381562975,0.882524055
92,strict,dimorphic female_canine_height,yes,-1.0373034,-0.251028735
93,relaxed,no dimorphic female_canine_height,no,-0.70440951,0.40520672
94,relaxed,dimorphic female_canine_height,no,-1.47739315,-0.5289455
95,relaxed,no dimorphic female_canine_height,yes,-1.99658375,-0.4847185
96,relaxed,dimorphic female_canine_height,yes,-1.57361055,-0.40593688
97,perc_won,no dimorphic male_canine_height,no,-1.0705731,-0.58540805
98,perc_won,dimorphic male_canine_height,no,-1.14613585,-0.951192165
99,perc_won,no dimorphic male_canine_height,yes,-2.6039305,-0.46570394
100,perc_won,dimorphic male_canine_height,yes,-1.1354496,-0.286343775
101,strict,no dimorphic male_canine_height,no,-1.6862985,0.417971355
102,strict,dimorphic male_canine_height,no,-1.5394762,-0.663000305
103,strict,no dimorphic male_canine_height,yes,-1.77588365,0.456617495
104,strict,dimorphic male_canine_height,yes,-1.59506495,-0.63598489
105,relaxed,no dimorphic male_canine_height,no,-1.09368875,0.28165992
106,relaxed,dimorphic male_canine_height,no,-1.61260345,-0.615852345
107,relaxed,no dimorphic male_canine_height,yes,-3.3609444,-1.626404
108,relaxed,dimorphic male_canine_height,yes,-2.20732715,-0.701303685
109,perc_won,no dimorphic females,no,-7.0347981,-6.25574535
110,perc_won,dimorphic females,no,-1.32387225,-1.019459
111,perc_won,no dimorphic females,yes,-6.6039672,-4.4313666
112,perc_won,dimorphic females,yes,-0.96162956,-0.296621695
113,strict,no dimorphic females,no,-3.5401288,-0.93040003
114,strict,dimorphic females,no,-1.029711,-0.18224144
115,strict,no dimorphic females,yes,-3.5029612,-1.02200735
116,strict,dimorphic females,yes,-1.05534475,-0.22702112
117,relaxed,no dimorphic females,no,-1.35479085,0.089001859
118,relaxed,dimorphic females,no,-1.0866797,-0.05332301
119,relaxed,no dimorphic females,yes,-4.78128705,-2.658714
120,relaxed,dimorphic females,yes,-1.69247435,-0.224177345
121,perc_won,no dimorphic homerange_overlap,no,0.205386285,0.37530244
122,perc_won,dimorphic homerange_overlap,no,-0.423686715,-0.287167985
123,perc_won,no dimorphic homerange_overlap,yes,-4.1600888,-2.60513015
124,perc_won,dimorphic homerange_overlap,yes,-0.853456195,0.084232609
125,strict,no dimorphic homerange_overlap,no,-0.66152539,0.489757705
126,strict,dimorphic homerange_overlap,no,-0.39964353,0.344850085
127,strict,no dimorphic homerange_overlap,yes,-0.734535945,0.470735195
128,strict,dimorphic homerange_overlap,yes,-0.39309096,0.32282067
129,relaxed,no dimorphic homerange_overlap,no,-0.65481287,0.352634755
130,relaxed,dimorphic homerange_overlap,no,-1.14954465,-0.17330262
131,relaxed,no dimorphic homerange_overlap,yes,-1.64616175,-0.47065255
132,relaxed,dimorphic homerange_overlap,yes,-1.49643035,-0.461083885
133,perc_won,no dimorphic perc_aggression_mm,no,0.850588345,1.05376705
134,perc_won,dimorphic perc_aggression_mm,no,0.60633998,0.756239815
135,perc_won,no dimorphic perc_aggression_mm,yes,0.703361015,1.4180219
136,perc_won,dimorphic perc_aggression_mm,yes,-0.709067175,-0.235119155
137,strict,no dimorphic perc_aggression_mm,no,0.253942565,2.0265742
138,strict,dimorphic perc_aggression_mm,no,0.100140437,1.09835055
139,strict,no dimorphic perc_aggression_mm,yes,0.16349671,1.939959
140,strict,dimorphic perc_aggression_mm,yes,0.12728785,1.22531095
141,relaxed,no dimorphic perc_aggression_mm,no,-0.092330448,1.1056106
142,relaxed,dimorphic perc_aggression_mm,no,-0.13522358,0.880126695
143,relaxed,no dimorphic perc_aggression_mm,yes,-0.147335705,1.6558231
144,relaxed,dimorphic perc_aggression_mm,yes,-0.109519145,1.10574075
145,perc_won,no dimorphic receptive_synchrony,no,-2.0771996,-0.906237425
146,perc_won,dimorphic receptive_synchrony,no,-0.77127654,-0.599831835
147,perc_won,no dimorphic receptive_synchrony,yes,-3.12163925,-0.43976476
148,perc_won,dimorphic receptive_synchrony,yes,-1.4316112,0.170146985
149,strict,no dimorphic receptive_synchrony,no,-2.35176745,0.175589435
150,strict,dimorphic receptive_synchrony,no,0.013845653,0.6462234
151,strict,no dimorphic receptive_synchrony,yes,-2.33518175,0.220187285
152,strict,dimorphic receptive_synchrony,yes,0.149074135,0.852345635
153,relaxed,no dimorphic receptive_synchrony,no,-1.1359154,0.354470665
154,relaxed,dimorphic receptive_synchrony,no,-0.113287025,0.64881741
155,relaxed,no dimorphic receptive_synchrony,yes,-4.0668717,-2.22145765
156,relaxed,dimorphic receptive_synchrony,yes,-0.25813002,0.647357005
157,perc_won,no dimorphic body_mass,no,-9.54852395,-7.7211318
158,perc_won,dimorphic body_mass,no,-0.166948905,-0.038755993
159,perc_won,no dimorphic body_mass,yes,-1.71940515,1.2542496
160,perc_won,dimorphic body_mass,yes,-0.802304365,-0.22020886
161,strict,no dimorphic body_mass,no,-2.19841425,0.747495505
162,strict,dimorphic body_mass,no,-0.616992945,0.070280102
163,strict,no dimorphic body_mass,yes,-2.3258597,0.717195205
164,strict,dimorphic body_mass,yes,-0.545709905,0.1334745
165,relaxed,no dimorphic body_mass,no,-0.967082075,0.62745204
166,relaxed,dimorphic body_mass,no,-0.96578317,0.022037179
167,relaxed,no dimorphic body_mass,yes,-4.0195825,-1.51910715
168,relaxed,dimorphic body_mass,yes,-1.33718235,-0.001672377
169,perc_won,no dimorphic testes_mass,no,-3.1573652,-2.61002395
170,perc_won,dimorphic testes_mass,no,-0.019580208,0.105099935
171,perc_won,no dimorphic testes_mass,yes,-2.00704145,0.356446185
172,perc_won,dimorphic testes_mass,yes,-1.53537015,-0.162195805
173,strict,no dimorphic testes_mass,no,-2.4112361,-0.093683802
174,strict,dimorphic testes_mass,no,-0.622094825,0.017137778
175,strict,no dimorphic testes_mass,yes,-2.47517655,0.030620052
176,strict,dimorphic testes_mass,yes,-0.8424344,-0.042567132
177,relaxed,no dimorphic testes_mass,no,-1.1712615,0.282837525
178,relaxed,dimorphic testes_mass,no,-0.462107755,0.307397415
179,relaxed,no dimorphic testes_mass,yes,-3.74256045,-1.79510325
180,relaxed,dimorphic testes_mass,yes,-0.63943544,0.180197035
181,perc_won,no dimorphic cooperative_breeder,No,-1.52349,-1.26630395
182,perc_won,dimorphic cooperative_breeder,No,0.60322104,1.24514165
183,perc_won,no dimorphic cooperative_breeder,Yes,-1.51945055,0.32428209
184,perc_won,dimorphic cooperative_breeder,Yes,-1.13907875,0.818529125
185,strict,no dimorphic cooperative_breeder,No,-0.567445615,0.467765685
186,strict,dimorphic cooperative_breeder,No,-1.0721168,0.17963623
187,strict,no dimorphic cooperative_breeder,Yes,-0.595018855,0.48043629
188,strict,dimorphic cooperative_breeder,Yes,-1.00815875,0.23041012
189,relaxed,no dimorphic cooperative_breeder,No,-0.527396455,0.6583001
190,relaxed,dimorphic cooperative_breeder,No,-1.30515055,0.069588265
191,relaxed,no dimorphic cooperative_breeder,Yes,-0.23586851,1.033347
192,relaxed,dimorphic cooperative_breeder,Yes,-1.35848045,0.050404405
193,perc_won,no dimorphic monopolization,No,-0.77208503,1.47132265
194,perc_won,dimorphic monopolization,No,-0.49089534,-0.22909939
195,perc_won,no dimorphic monopolization,Yes,-0.89340342,1.61059925
196,perc_won,dimorphic monopolization,Yes,-0.939219225,0.13594631
197,strict,no dimorphic monopolization,No,-0.324586245,1.1050182
198,strict,dimorphic monopolization,No,-1.2059054,-0.163967515
199,strict,no dimorphic monopolization,Yes,-0.31791031,1.1264905
200,strict,dimorphic monopolization,Yes,-1.163621,-0.143150315
201,relaxed,no dimorphic monopolization,No,-0.445297875,1.0057261
202,relaxed,dimorphic monopolization,No,-1.25033455,-0.09159511
203,relaxed,no dimorphic monopolization,Yes,-0.3402843,1.04653745
204,relaxed,dimorphic monopolization,Yes,-1.2553277,-0.035491352
205,perc_won,no dimorphic jointaggression_males,No,-2.70983375,-2.4403991
206,perc_won,dimorphic jointaggression_males,No,0.404240465,0.637000375
207,perc_won,no dimorphic jointaggression_males,Yes,-1.5473349,0.350667495
208,perc_won,dimorphic jointaggression_males,Yes,-0.214162615,1.0721979
209,strict,no dimorphic jointaggression_males,No,-0.949869155,0.11892281
210,strict,dimorphic jointaggression_males,No,-0.929641115,-0.068050899
211,strict,no dimorphic jointaggression_males,Yes,-0.928901705,0.11272197
212,strict,dimorphic jointaggression_males,Yes,-0.95441146,-0.092568862
213,relaxed,no dimorphic jointaggression_males,No,-0.877956775,0.24492877
214,relaxed,dimorphic jointaggression_males,No,-1.2726121,-0.20570677
215,relaxed,no dimorphic jointaggression_males,Yes,-0.631013495,0.59307853
216,relaxed,dimorphic jointaggression_males,Yes,-1.3509267,-0.13788472
217,perc_won,no dimorphic jointaggression_females,No,0.595416775,0.778433815
218,perc_won,dimorphic jointaggression_females,No,-0.491594455,-0.195492995
219,perc_won,no dimorphic jointaggression_females,Yes,-1.33190265,0.251626745
220,perc_won,dimorphic jointaggression_females,Yes,-1.22454695,0.191652355
221,strict,no dimorphic jointaggression_females,No,-0.021433251,0.925963945
222,strict,dimorphic jointaggression_females,No,-0.785159635,0.06057157
223,strict,no dimorphic jointaggression_females,Yes,-0.052974848,0.89649731
224,strict,dimorphic jointaggression_females,Yes,-0.856020185,0.075135678
225,relaxed,no dimorphic jointaggression_females,No,0.15780079,1.1554652
226,relaxed,dimorphic jointaggression_females,No,-0.559853815,0.477856605
227,relaxed,no dimorphic jointaggression_females,Yes,0.1864544,1.231327
228,relaxed,dimorphic jointaggression_females,Yes,-0.828276975,0.25753327
229,perc_won,no dimorphic female_dispersal,No,-2.541301,-2.2748436
230,perc_won,dimorphic female_dispersal,No,0.12923113,0.39664956
231,perc_won,no dimorphic female_dispersal,Yes,-2.00845755,-0.31292835
232,perc_won,dimorphic female_dispersal,Yes,-3.0746506,-1.5673745
233,strict,no dimorphic female_dispersal,No,-1.0281274,-0.025881065
234,strict,dimorphic female_dispersal,No,-1.1794739,-0.144711335
235,strict,no dimorphic female_dispersal,Yes,-1.08416025,-0.018381399
236,strict,dimorphic female_dispersal,Yes,-1.33520395,-0.221559515
237,relaxed,no dimorphic female_dispersal,No,-0.748481235,0.328325585
238,relaxed,dimorphic female_dispersal,No,-0.85519513,0.34110716
239,relaxed,no dimorphic female_dispersal,Yes,-0.75681424,0.353093455
240,relaxed,dimorphic female_dispersal,Yes,-0.865153825,0.292498625
241,perc_won,no dimorphic female_infanticide,No,0.711035985,1.04152155
242,perc_won,dimorphic female_infanticide,No,-1.36511885,-0.890695345
243,perc_won,no dimorphic female_infanticide,Yes,-1.0999326,0.40871353
244,perc_won,dimorphic female_infanticide,Yes,-1.134917,0.2633992
245,strict,no dimorphic female_infanticide,No,-0.063599603,1.1168308
246,strict,dimorphic female_infanticide,No,-1.14561045,-0.11155294
247,strict,no dimorphic female_infanticide,Yes,-0.015479852,1.15190405
248,strict,dimorphic female_infanticide,Yes,-1.16399035,-0.11668173
249,relaxed,no dimorphic female_infanticide,No,-0.262833715,0.933035155
250,relaxed,dimorphic female_infanticide,No,-1.27793105,-0.073119651
251,relaxed,no dimorphic female_infanticide,Yes,-0.252130845,0.956816085
252,relaxed,dimorphic female_infanticide,Yes,-1.34630585,-0.058157284
253,perc_won,no dimorphic female_evictions,No,-0.411081815,1.0626614
254,perc_won,dimorphic female_evictions,No,-3.68877775,-2.25975745
255,perc_won,no dimorphic female_evictions,Yes,-0.096532464,1.7829615
256,perc_won,dimorphic female_evictions,Yes,-3.11332065,-0.720430655
257,strict,no dimorphic female_evictions,No,0.072257157,1.19481725
258,strict,dimorphic female_evictions,No,-1.4029103,-0.168215875
259,strict,no dimorphic female_evictions,Yes,0.061376141,1.2761798
260,strict,dimorphic female_evictions,Yes,-1.4279927,-0.13002371
261,relaxed,no dimorphic female_evictions,No,0.089091532,1.18723805
262,relaxed,dimorphic female_evictions,No,-1.24184335,0.12660998
263,relaxed,no dimorphic female_evictions,Yes,0.069261692,1.22431265
264,relaxed,dimorphic female_evictions,Yes,-1.3288465,0.181382445
265,perc_won,no dimorphic sexbias_dispersal,No,0.87053306,1.01007495
266,perc_won,dimorphic sexbias_dispersal,No,-0.326293805,-0.133394675
267,perc_won,no dimorphic sexbias_dispersal,Yes,0.56569708,1.50131185
268,perc_won,dimorphic sexbias_dispersal,Yes,0.182659195,1.3056945
269,perc_won,no dimorphic sexbias_dispersal,No,0.595775025,1.35272895
270,perc_won,dimorphic sexbias_dispersal,No,-0.43684999,0.241224955
271,perc_won,no dimorphic sexbias_dispersal,Yes,0.659544775,1.4058051
272,perc_won,dimorphic sexbias_dispersal,Yes,-0.434363235,0.289668095
273,perc_won,no dimorphic sexbias_dispersal,No,0.30210437,1.13398365
274,perc_won,dimorphic sexbias_dispersal,No,-0.89316957,-0.044075523
275,perc_won,no dimorphic sexbias_dispersal,Yes,0.284164955,1.15064795
276,perc_won,dimorphic sexbias_dispersal,Yes,-0.874210435,-0.047388171
277,strict,no dimorphic sexbias_dispersal,NA,NA,NA
278,strict,dimorphic sexbias_dispersal,NA,NA,NA
279,strict,no dimorphic sexbias_dispersal,NA,NA,NA
280,strict,dimorphic sexbias_dispersal,NA,NA,NA
281,strict,no dimorphic sexbias_dispersal,NA,NA,NA
282,strict,dimorphic sexbias_dispersal,NA,NA,NA
283,strict,no dimorphic sexbias_dispersal,NA,NA,NA
284,strict,dimorphic sexbias_dispersal,NA,NA,NA
285,strict,no dimorphic sexbias_dispersal,NA,NA,NA
286,strict,dimorphic sexbias_dispersal,NA,NA,NA
287,strict,no dimorphic sexbias_dispersal,NA,NA,NA
288,strict,dimorphic sexbias_dispersal,NA,NA,NA
289,relaxed,no dimorphic sexbias_dispersal,NA,NA,NA
290,relaxed,dimorphic sexbias_dispersal,NA,NA,NA
291,relaxed,no dimorphic sexbias_dispersal,NA,NA,NA
292,relaxed,dimorphic sexbias_dispersal,NA,NA,NA
293,relaxed,no dimorphic sexbias_dispersal,NA,NA,NA
294,relaxed,dimorphic sexbias_dispersal,NA,NA,NA
295,relaxed,no dimorphic sexbias_dispersal,NA,NA,NA
296,relaxed,dimorphic sexbias_dispersal,NA,NA,NA
297,relaxed,no dimorphic sexbias_dispersal,NA,NA,NA
298,relaxed,dimorphic sexbias_dispersal,NA,NA,NA
299,relaxed,no dimorphic sexbias_dispersal,NA,NA,NA
300,relaxed,dimorphic sexbias_dispersal,NA,NA,NA
301,perc_won,no dimorphic MatSysPMK,No,-0.046723734,0.038389623
302,perc_won,dimorphic MatSysPMK,No,-0.54535932,-0.38970856
303,perc_won,no dimorphic MatSysPMK,Yes,-0.5890148,0.11172952
304,perc_won,dimorphic MatSysPMK,Yes,-0.285837295,0.64307853
305,perc_won,no dimorphic MatSysPMK,No,-0.030408135,0.514232355
306,perc_won,dimorphic MatSysPMK,No,-0.46536394,0.045191755
307,perc_won,no dimorphic MatSysPMK,Yes,-0.055238797,0.516425
308,perc_won,dimorphic MatSysPMK,Yes,-0.547111835,0.038473223
309,perc_won,no dimorphic MatSysPMK,No,-0.260968855,0.33641173
310,perc_won,dimorphic MatSysPMK,No,-0.726433275,-0.091854161
311,perc_won,no dimorphic MatSysPMK,Yes,-0.40722409,0.32370732
312,perc_won,dimorphic MatSysPMK,Yes,-1.1433722,-0.33963407
313,perc_won,no dimorphic MatSysPMK,NA,NA,NA
314,perc_won,dimorphic MatSysPMK,NA,NA,NA
315,perc_won,no dimorphic MatSysPMK,NA,NA,NA
316,perc_won,dimorphic MatSysPMK,NA,NA,NA
317,perc_won,no dimorphic MatSysPMK,NA,NA,NA
318,perc_won,dimorphic MatSysPMK,NA,NA,NA
319,perc_won,no dimorphic MatSysPMK,NA,NA,NA
320,perc_won,dimorphic MatSysPMK,NA,NA,NA
321,perc_won,no dimorphic MatSysPMK,NA,NA,NA
322,perc_won,dimorphic MatSysPMK,NA,NA,NA
323,perc_won,no dimorphic MatSysPMK,NA,NA,NA
324,perc_won,dimorphic MatSysPMK,NA,NA,NA
325,strict,no dimorphic MatSysPMK,NA,NA,NA
326,strict,dimorphic MatSysPMK,NA,NA,NA
327,strict,no dimorphic MatSysPMK,NA,NA,NA
328,strict,dimorphic MatSysPMK,NA,NA,NA
329,strict,no dimorphic MatSysPMK,NA,NA,NA
330,strict,dimorphic MatSysPMK,NA,NA,NA
331,strict,no dimorphic MatSysPMK,NA,NA,NA
332,strict,dimorphic MatSysPMK,NA,NA,NA
333,strict,no dimorphic MatSysPMK,NA,NA,NA
334,strict,dimorphic MatSysPMK,NA,NA,NA
335,strict,no dimorphic MatSysPMK,NA,NA,NA
336,strict,dimorphic MatSysPMK,NA,NA,NA
337,strict,no dimorphic MatSysPMK,NA,NA,NA
338,strict,dimorphic MatSysPMK,NA,NA,NA
339,strict,no dimorphic MatSysPMK,NA,NA,NA
340,strict,dimorphic MatSysPMK,NA,NA,NA
341,strict,no dimorphic MatSysPMK,NA,NA,NA
342,strict,dimorphic MatSysPMK,NA,NA,NA
343,strict,no dimorphic MatSysPMK,NA,NA,NA
344,strict,dimorphic MatSysPMK,NA,NA,NA
345,strict,no dimorphic MatSysPMK,NA,NA,NA
346,strict,dimorphic MatSysPMK,NA,NA,NA
347,strict,no dimorphic MatSysPMK,NA,NA,NA
348,strict,dimorphic MatSysPMK,NA,NA,NA
349,relaxed,no dimorphic MatSysPMK,NA,NA,NA
350,relaxed,dimorphic MatSysPMK,NA,NA,NA
351,relaxed,no dimorphic MatSysPMK,NA,NA,NA
352,relaxed,dimorphic MatSysPMK,NA,NA,NA
353,relaxed,no dimorphic MatSysPMK,NA,NA,NA
354,relaxed,dimorphic MatSysPMK,NA,NA,NA
355,relaxed,no dimorphic MatSysPMK,NA,NA,NA
356,relaxed,dimorphic MatSysPMK,NA,NA,NA
357,relaxed,no dimorphic MatSysPMK,NA,NA,NA
358,relaxed,dimorphic MatSysPMK,NA,NA,NA
359,relaxed,no dimorphic MatSysPMK,NA,NA,NA
360,relaxed,dimorphic MatSysPMK,NA,NA,NA
361,relaxed,no dimorphic MatSysPMK,NA,NA,NA
362,relaxed,dimorphic MatSysPMK,NA,NA,NA
363,relaxed,no dimorphic MatSysPMK,NA,NA,NA
364,relaxed,dimorphic MatSysPMK,NA,NA,NA
365,relaxed,no dimorphic MatSysPMK,NA,NA,NA
366,relaxed,dimorphic MatSysPMK,NA,NA,NA
367,relaxed,no dimorphic MatSysPMK,NA,NA,NA
368,relaxed,dimorphic MatSysPMK,NA,NA,NA
369,relaxed,no dimorphic MatSysPMK,NA,NA,NA
370,relaxed,dimorphic MatSysPMK,NA,NA,NA
371,relaxed,no dimorphic MatSysPMK,NA,NA,NA
372,relaxed,dimorphic MatSysPMK,NA,NA,NA
373,perc_won,no dimorphic SocOrgPMK,No,0.540698545,0.654586435
374,perc_won,dimorphic SocOrgPMK,No,2.22197945,2.9625721
375,perc_won,no dimorphic SocOrgPMK,Yes,1.5023289,2.7635021
376,perc_won,dimorphic SocOrgPMK,Yes,-1.2637072,1.0227942
377,perc_won,no dimorphic SocOrgPMK,No,0.4413551,1.17164945
378,perc_won,dimorphic SocOrgPMK,No,-0.712259085,0.50300833
379,perc_won,no dimorphic SocOrgPMK,Yes,0.451703235,1.2716765
380,perc_won,dimorphic SocOrgPMK,Yes,-0.67660232,0.51861296
381,perc_won,no dimorphic SocOrgPMK,No,0.531647,1.4139576
382,perc_won,dimorphic SocOrgPMK,No,-0.864568055,0.470099745
383,perc_won,no dimorphic SocOrgPMK,Yes,0.398223045,1.4365765
384,perc_won,dimorphic SocOrgPMK,Yes,-0.99163992,0.37801965
385,perc_won,no dimorphic receptive_synchrony,no,-2.090862,-0.92947915
386,perc_won,dimorphic receptive_synchrony,no,-0.77632888,-0.59734597
387,perc_won,no dimorphic receptive_synchrony,yes,-3.12807135,-0.47671126
388,perc_won,dimorphic receptive_synchrony,yes,-1.4026103,0.121566835
389,strict,no dimorphic receptive_synchrony,no,-2.37970035,0.18832983
390,strict,dimorphic receptive_synchrony,no,0.003375198,0.64057017
391,strict,no dimorphic receptive_synchrony,yes,-2.3573975,0.250449995
392,strict,dimorphic receptive_synchrony,yes,0.13310078,0.84551886
393,relaxed,no dimorphic receptive_synchrony,no,-1.0988373,0.375908165
394,relaxed,dimorphic receptive_synchrony,no,-0.117993915,0.637344485
395,relaxed,no dimorphic receptive_synchrony,yes,-3.97386115,-2.21070995
396,relaxed,dimorphic receptive_synchrony,yes,-0.26891261,0.63224218
397,perc_won,no dimorphic sexualornamentdimorphism_sum,no,-0.35138597,0.35327219
398,perc_won,dimorphic sexualornamentdimorphism_sum,no,-0.40446304,-0.251212645
399,perc_won,no dimorphic sexualornamentdimorphism_sum,yes,-2.81568855,-0.102061545
400,perc_won,dimorphic sexualornamentdimorphism_sum,yes,-1.41351815,-0.62453203
401,strict,no dimorphic sexualornamentdimorphism_sum,no,-1.5803142,1.02447215
402,strict,dimorphic sexualornamentdimorphism_sum,no,-0.294059365,0.32322136
403,strict,no dimorphic sexualornamentdimorphism_sum,yes,-1.6203998,0.94261581
404,strict,dimorphic sexualornamentdimorphism_sum,yes,-0.37270028,0.31830953
405,relaxed,no dimorphic sexualornamentdimorphism_sum,no,-0.835188275,0.633406455
406,relaxed,dimorphic sexualornamentdimorphism_sum,no,-0.39167412,0.31503501
407,relaxed,no dimorphic sexualornamentdimorphism_sum,yes,-2.75617665,-0.654259035
408,relaxed,dimorphic sexualornamentdimorphism_sum,yes,-0.675279925,0.25813825
409,perc_won,no dimorphic ovulation_signs,no,0.950475985,1.16002265
