"","outcome","continuouspredictor","phylogeny","estimate lower","estimate upper","association_present","estimate.lower","estimate.upper"
"242","perc_won","male_dispersal Yes minus No","Yes",0.162886245998098,0.538264301935136,"confident",0.163,0.538
"252","perc_won","sexbias_dispersal Female minus Both","Yes",-0.416296330040362,-0.0195553869009719,"confident",-0.416,-0.02
"254","perc_won","sexbias_dispersal Male minus Female","Yes",0.256263140152896,0.646771046107427,"confident",0.256,0.647
"2741","perc_won","jointaggression_females Yes minus No","Yes",-0.355515041794776,-0.059091346202422,"confident",-0.356,-0.059
"282","perc_won","jointaggression_males Yes minus No","Yes",-0.00532295970415875,0.374225191468349,"not",-0.005,0.374
"2902","perc_won","female_evictions Yes minus No","Yes",-0.530129585569926,-0.0338412554828158,"confident",-0.53,-0.034
"2982","perc_won","female_infanticide Yes minus No","Yes",-0.0698922200508488,0.225345590234269,"not",-0.07,0.225
"2521","perc_won","sexbias_dispersal Female minus Both","Yes",-0.416296330040362,-0.0195553869009719,"confident",-0.416,-0.02
"253","perc_won","sexbias_dispersal Male minus Both","Yes",0.0952119590245189,0.402940490529213,"confident",0.095,0.403
"2541","perc_won","sexbias_dispersal Male minus Female","Yes",0.256263140152896,0.646771046107427,"confident",0.256,0.647
"262","perc_won","female_average_relatedness","Yes",0.0718737735,1.00198455,"confident",0.072,1.002
"2742","perc_won","jointaggression_females Yes minus No","Yes",-0.355515041794776,-0.059091346202422,"confident",-0.356,-0.059
"2821","perc_won","jointaggression_males Yes minus No","Yes",-0.00532295970415875,0.374225191468349,"not",-0.005,0.374
