outcome,continuouspredictor,phylogeny,estimate_lower,estimate_upper,association_present
strict female dominance,SocOrgPMK P minus G,Yes,0.17455354,0.487103102,confident
strict female dominance,SocOrgPMK S minus G,Yes,0.084249108,0.41500947,confident
strict female dominance,SocOrgPMK S minus P,Yes,-0.285454643,0.124620081,not
strict male dominance,SocOrgPMK P minus G,No,-0.298048755,-0.037969679,confident
strict male dominance,SocOrgPMK S minus G,No,-0.273405922,-0.025136851,confident
strict male dominance,SocOrgPMK S minus P,No,-0.148738514,0.178836861,not
strict male dominance,SocOrgPMK P minus G,Yes,-0.500096208,-0.145115718,confident
strict male dominance,SocOrgPMK S minus G,Yes,-0.489964374,-0.126052705,confident
strict male dominance,SocOrgPMK S minus P,Yes,-0.205914607,0.222892452,not
perc_won,fissionfusion Yes minus No,No,-0.340839723,-0.230089738,confident
perc_won,fissionfusion Yes minus No,Yes,-0.752622666,-0.504629872,confident
strict three way,fissionfusion Yes minus No,No,-0.360113433,-0.12077205,confident
strict three way,fissionfusion Yes minus No,Yes,-0.471066101,-0.205519249,confident
strict female dominance,fissionfusion Yes minus No,No,-0.133250011,0.041904488,not
strict female dominance,fissionfusion Yes minus No,Yes,-0.425457956,-0.053805767,confident
strict male dominance,fissionfusion Yes minus No,No,0.105099937,0.346053955,confident
strict male dominance,fissionfusion Yes minus No,Yes,0.154616458,0.431747303,confident
perc_won,female_evictions Yes minus No,No,0.44966531,0.609895774,confident
perc_won,female_evictions Yes minus No,Yes,0.573891459,0.771339458,confident
strict three way,female_evictions Yes minus No,No,0.279290716,0.53255943,confident
strict three way,female_evictions Yes minus No,Yes,0.244763785,0.519453558,confident
strict female dominance,female_evictions Yes minus No,No,0.264434552,0.509469113,confident
strict female dominance,female_evictions Yes minus No,Yes,0.279174283,0.584293495,confident
strict male dominance,female_evictions Yes minus No,No,-0.442739242,-0.155572482,confident
strict male dominance,female_evictions Yes minus No,Yes,-0.432827645,-0.145519178,confident
perc_won,origin wild minus captive,No,-0.09765448,-0.060474347,confident
perc_won,origin wild minus captive,Yes,0.190371011,0.342834145,confident
strict three way,origin wild minus captive,No,-0.125440896,0.053944806,not
strict three way,origin wild minus captive,Yes,-0.166418431,0.048358363,not
strict female dominance,origin wild minus captive,No,-0.134763096,0.029662797,not
strict female dominance,origin wild minus captive,Yes,-0.190886269,0.065353013,not
strict male dominance,origin wild minus captive,No,-0.076532685,0.112755453,not
strict male dominance,origin wild minus captive,Yes,-0.059972704,0.177208107,not
perc_won,female_infanticide Yes minus No,No,-0.049276285,-0.006271149,confident
perc_won,female_infanticide Yes minus No,Yes,-0.071090263,0.192121284,not
strict three way,female_infanticide Yes minus No,No,-0.151593374,0.084090239,not
strict three way,female_infanticide Yes minus No,Yes,-0.114698432,0.190578281,not
strict female dominance,female_infanticide Yes minus No,No,-0.053133189,0.140974931,not
strict female dominance,female_infanticide Yes minus No,Yes,-0.132584326,0.204102513,not
strict male dominance,female_infanticide Yes minus No,No,-0.078365597,0.165166502,not
strict male dominance,female_infanticide Yes minus No,Yes,-0.135591968,0.134255087,not
perc_won,MatSysPMK PAN minus MON,No,-0.280587911,-0.146085759,confident
perc_won,MatSysPMK POL minus MON,No,-0.685243651,-0.604813905,confident
perc_won,MatSysPMK PRO minus MON,No,-0.454188734,-0.315952442,confident
perc_won,MatSysPMK POL minus PAN,No,-0.494908963,-0.342446132,confident
perc_won,MatSysPMK PRO minus PAN,No,-0.206336863,-0.155691295,confident
perc_won,MatSysPMK PRO minus POL,No,0.173676772,0.318904677,confident
perc_won,MatSysPMK PAN minus MON,Yes,-0.568380803,-0.171115123,confident
perc_won,MatSysPMK POL minus MON,Yes,-0.81871906,-0.496254271,confident
perc_won,MatSysPMK PRO minus MON,Yes,-0.853604801,-0.684618177,confident
perc_won,MatSysPMK POL minus PAN,Yes,-0.523148704,-0.088886704,confident
perc_won,MatSysPMK PRO minus PAN,Yes,-0.59444759,-0.238650198,confident
perc_won,MatSysPMK PRO minus POL,Yes,-0.272388274,0.036628338,not
strict three way,MatSysPMK PAN minus MON,No,-0.296634902,0.015055942,not
strict three way,MatSysPMK POL minus MON,No,-0.585241325,-0.329986625,confident
strict three way,MatSysPMK PRO minus MON,No,-0.395580768,-0.144241089,confident
strict three way,MatSysPMK POL minus PAN,No,-0.466743964,-0.172289333,confident
strict three way,MatSysPMK PRO minus PAN,No,-0.273354752,0.006060329,not
strict three way,MatSysPMK PRO minus POL,No,0.078832214,0.301184719,confident
strict three way,MatSysPMK PAN minus MON,Yes,-0.33856173,0.017476213,not
strict three way,MatSysPMK POL minus MON,Yes,-0.567952154,-0.279824447,confident
strict three way,MatSysPMK PRO minus MON,Yes,-0.375524386,-0.099640937,confident
strict three way,MatSysPMK POL minus PAN,Yes,-0.43476601,-0.091778986,confident
strict three way,MatSysPMK PRO minus PAN,Yes,-0.23821462,0.09070223,not
strict three way,MatSysPMK PRO minus POL,Yes,0.067603109,0.315184694,confident
strict female dominance,MatSysPMK PAN minus MON,No,-0.348346485,0.003081676,not
strict female dominance,MatSysPMK POL minus MON,No,-0.477830458,-0.169995039,confident
strict female dominance,MatSysPMK PRO minus MON,No,-0.445583665,-0.168857489,confident
strict female dominance,MatSysPMK POL minus PAN,No,-0.290446058,-0.016015929,confident
strict female dominance,MatSysPMK PRO minus PAN,No,-0.270453307,-0.004289595,confident
strict female dominance,MatSysPMK PRO minus POL,No,-0.077893957,0.105877939,not
strict female dominance,MatSysPMK PAN minus MON,Yes,-0.39453234,0.002760917,not
strict female dominance,MatSysPMK POL minus MON,Yes,-0.49146612,-0.104657324,confident
strict female dominance,MatSysPMK PRO minus MON,Yes,-0.365607682,-0.028023676,confident
strict female dominance,MatSysPMK POL minus PAN,Yes,-0.313690748,0.103075724,not
strict female dominance,MatSysPMK PRO minus PAN,Yes,-0.183497608,0.174865278,not
strict female dominance,MatSysPMK PRO minus POL,Yes,-0.067312139,0.27508927,not
strict male dominance,MatSysPMK PAN minus MON,No,-0.112496216,0.203368296,not
strict male dominance,MatSysPMK POL minus MON,No,0.232927518,0.511774934,confident
strict male dominance,MatSysPMK PRO minus MON,No,0.019299034,0.252553747,confident
strict male dominance,MatSysPMK POL minus PAN,No,0.182538082,0.481954063,confident
strict male dominance,MatSysPMK PRO minus PAN,No,-0.032734535,0.217575399,not
strict male dominance,MatSysPMK PRO minus POL,No,-0.358087721,-0.109865825,confident
strict male dominance,MatSysPMK PAN minus MON,Yes,-0.122473563,0.245253444,not
strict male dominance,MatSysPMK POL minus MON,Yes,0.252636577,0.565561028,confident
strict male dominance,MatSysPMK PRO minus MON,Yes,0.06013543,0.361991321,confident
strict male dominance,MatSysPMK POL minus PAN,Yes,0.178499782,0.520293694,confident
strict male dominance,MatSysPMK PRO minus PAN,Yes,-0.012646453,0.313344034,not
strict male dominance,MatSysPMK PRO minus POL,Yes,-0.326241191,-0.075938038,confident
perc_won,Strata_Wilman G minus Ar,No,-0.631898814,-0.511316176,confident
perc_won,Strata_Wilman S minus Ar,No,-0.410130112,-0.311636204,confident
perc_won,Strata_Wilman S minus G,No,0.133955836,0.282326901,confident
perc_won,Strata_Wilman G minus Ar,Yes,-0.946884292,-0.810591523,confident
perc_won,Strata_Wilman S minus Ar,Yes,-0.807324665,-0.535755435,confident
perc_won,Strata_Wilman S minus G,Yes,0.063162671,0.372751879,confident
strict three way,Strata_Wilman G minus Ar,No,-0.498213036,-0.250683524,confident
strict three way,Strata_Wilman S minus Ar,No,-0.380617182,-0.197631283,confident
strict three way,Strata_Wilman S minus G,No,-0.051535814,0.224839637,not
strict three way,Strata_Wilman G minus Ar,Yes,-0.520220424,-0.238913543,confident
strict three way,Strata_Wilman S minus Ar,Yes,-0.445115151,-0.184507282,confident
strict three way,Strata_Wilman S minus G,Yes,-0.106499849,0.229509181,not
strict female dominance,Strata_Wilman G minus Ar,No,-0.184345121,0.032833228,not
strict female dominance,Strata_Wilman S minus Ar,No,-0.216516283,-0.058362988,confident
strict female dominance,Strata_Wilman S minus G,No,-0.170017602,0.047742758,not
strict female dominance,Strata_Wilman G minus Ar,Yes,-0.485108777,-0.096250434,confident
strict female dominance,Strata_Wilman S minus Ar,Yes,-0.48703945,-0.174648434,confident
strict female dominance,Strata_Wilman S minus G,Yes,-0.257877814,0.161552846,not
strict male dominance,Strata_Wilman G minus Ar,No,0.232948799,0.496845296,confident
strict male dominance,Strata_Wilman S minus Ar,No,0.168996355,0.36613388,confident
strict male dominance,Strata_Wilman S minus G,No,-0.242935696,0.037722784,not
strict male dominance,Strata_Wilman G minus Ar,Yes,0.233948369,0.491952815,confident
strict male dominance,Strata_Wilman S minus Ar,Yes,0.158686679,0.370330287,confident
strict male dominance,Strata_Wilman S minus G,Yes,-0.24728519,0.056733331,not
perc_won,sexbias_dispersal Female minus Both,No,-0.273015933,-0.188153687,confident
perc_won,sexbias_dispersal Male minus Both,No,-0.095039041,-0.047753534,confident
perc_won,sexbias_dispersal Male minus Female,No,0.123004382,0.196894573,confident
perc_won,sexbias_dispersal Female minus Both,Yes,-0.415729459,-0.077855959,confident
perc_won,sexbias_dispersal Male minus Both,Yes,-0.206868017,0.047334995,not
perc_won,sexbias_dispersal Male minus Female,Yes,0.000417048,0.342535403,confident
strict three way,sexbias_dispersal Female minus Both,No,-0.34344452,-0.032486497,confident
strict three way,sexbias_dispersal Male minus Both,No,-0.178537907,0.079024923,not
strict three way,sexbias_dispersal Male minus Female,No,-0.00304738,0.273005213,not
strict three way,sexbias_dispersal Female minus Both,Yes,-0.334374738,0.023023806,not
strict three way,sexbias_dispersal Male minus Both,Yes,-0.091282767,0.219219483,not
strict three way,sexbias_dispersal Male minus Female,Yes,0.073582113,0.384381786,confident
strict female dominance,sexbias_dispersal Female minus Both,No,-0.181672598,0.103841635,not
strict female dominance,sexbias_dispersal Male minus Both,No,-0.150214992,0.090271069,not
strict female dominance,sexbias_dispersal Male minus Female,No,-0.113855198,0.123580867,not
strict female dominance,sexbias_dispersal Female minus Both,Yes,-0.230973689,0.195576284,not
strict female dominance,sexbias_dispersal Male minus Both,Yes,-0.035003965,0.336362159,not
strict female dominance,sexbias_dispersal Male minus Female,Yes,-0.019069384,0.361892541,not
strict male dominance,sexbias_dispersal Female minus Both,No,0.058111844,0.376954992,confident
strict male dominance,sexbias_dispersal Male minus Both,No,-0.043491571,0.235135897,not
strict male dominance,sexbias_dispersal Male minus Female,No,-0.256336752,0.024289478,not
strict male dominance,sexbias_dispersal Female minus Both,Yes,0.043842623,0.378959269,confident
strict male dominance,sexbias_dispersal Male minus Both,Yes,-0.124936982,0.185939306,not
strict male dominance,sexbias_dispersal Male minus Female,Yes,-0.337003093,-0.027659523,confident
perc_won,jointaggression_females Yes minus No,No,-0.103858842,-0.064289973,confident
perc_won,jointaggression_females Yes minus No,Yes,-0.550642722,-0.223693045,confident
strict three way,jointaggression_females Yes minus No,No,-0.176099297,0.047912783,not
strict three way,jointaggression_females Yes minus No,Yes,-0.282933256,-0.016638363,confident
strict female dominance,jointaggression_females Yes minus No,No,-0.158663995,0.042608028,not
strict female dominance,jointaggression_females Yes minus No,Yes,-0.219996953,0.087985052,not
strict male dominance,jointaggression_females Yes minus No,No,-0.04018221,0.18672131,not
strict male dominance,jointaggression_females Yes minus No,Yes,0.000462614,0.278392062,confident
