"","outcome","continuouspredictor","phylogeny","estimate lower","estimate upper","association_present"
"40","strict male dominance","Synchrony","Yes",-0.33321357,0.45702082,"not"
"41","perc_won","r_seasonality_value","No",0.487373775,0.664434545,"confident"
"42","perc_won","r_seasonality_value","Yes",0.72363848,2.0469871,"confident"
"43","strict three way","r_seasonality_value","No",0.0445148565,0.96115612,"confident"
"44","strict three way","r_seasonality_value","Yes",0.021710709,1.02918445,"confident"
"45","strict female dominance","r_seasonality_value","No",-0.60886901,0.6556415,"not"
"46","strict female dominance","r_seasonality_value","Yes",-1.16371565,1.13669785,"not"
"47","strict male dominance","r_seasonality_value","No",-0.812988485,-0.00568828999999999,"confident"
"48","strict male dominance","r_seasonality_value","Yes",-0.984629885,-0.031175026,"confident"
"49","perc_won","M_skew_index","No",-0.28583222,-0.13382062,"confident"
"50","perc_won","M_skew_index","Yes",-0.325638465,0.51969876,"not"
"51","strict three way","M_skew_index","No",-0.79237481,0.121594005,"not"
"52","strict three way","M_skew_index","Yes",-0.76963527,0.122411265,"not"
"53","strict female dominance","M_skew_index","No",-0.48099043,0.729485235,"not"
"54","strict female dominance","M_skew_index","Yes",-0.678586905,1.18060205,"not"
"55","strict male dominance","M_skew_index","No",-0.11335699,0.751365355,"not"
"56","strict male dominance","M_skew_index","Yes",-0.102605455,0.95051883,"not"
"57","perc_won","env_harshness","No",-0.59299585,-0.440636985,"confident"
"58","perc_won","env_harshness","Yes",-0.61493533,0.276469835,"not"
"59","strict three way","env_harshness","No",-0.90877083,-0.157303445,"confident"
"60","strict three way","env_harshness","Yes",-0.953792165,-0.1334054,"confident"
"61","strict female dominance","env_harshness","No",-0.766944225,0.323342945,"not"
"62","strict female dominance","env_harshness","Yes",-1.5145353,0.302691935,"not"
"63","strict male dominance","env_harshness","No",0.102353695,0.77057243,"confident"
"64","strict male dominance","env_harshness","Yes",0.16310343,0.878764115,"confident"
"65","perc_won","rainfall_unpredictability","No",-0.277811085,-0.14336459,"confident"
"66","perc_won","rainfall_unpredictability","Yes",0.80471499,1.5298019,"confident"
"67","strict three way","rainfall_unpredictability","No",-0.600385585,0.055618841,"not"
"68","strict three way","rainfall_unpredictability","Yes",-0.622542085,0.0678877775,"not"
"69","strict female dominance","rainfall_unpredictability","No",-0.665387265,0.42270513,"not"
"70","strict female dominance","rainfall_unpredictability","Yes",-1.0900634,0.496620665,"not"
"71","strict male dominance","rainfall_unpredictability","No",-0.090017138,0.564995975,"not"
"72","strict male dominance","rainfall_unpredictability","Yes",-0.0869946240000001,0.628636965,"not"
"73","perc_won","rainfall_annualvariation","No",-0.12812099,0.00412860245000001,"not"
"74","perc_won","rainfall_annualvariation","Yes",0.46716159,1.04425915,"confident"
"75","strict three way","rainfall_annualvariation","No",0.0218685485,0.74913431,"confident"
"76","strict three way","rainfall_annualvariation","Yes",-0.0367558445,0.78386545,"not"
"77","strict female dominance","rainfall_annualvariation","No",-0.450194365,0.66855177,"not"
"78","strict female dominance","rainfall_annualvariation","Yes",-0.536869825,1.1326671,"not"
"79","strict male dominance","rainfall_annualvariation","No",-0.686417565,0.032603791,"not"
"80","strict male dominance","rainfall_annualvariation","Yes",-0.788540245,0.035868011,"not"
"81","perc_won","NDVI_Seasonality","No",-0.244896065,-0.121766455,"confident"
"82","perc_won","NDVI_Seasonality","Yes",-0.057955623,0.317471885,"not"
"83","strict three way","NDVI_Seasonality","No",-0.0174662785,0.582605625,"not"
"84","strict three way","NDVI_Seasonality","Yes",-0.321116195,0.37596152,"not"
"85","strict female dominance","NDVI_Seasonality","No",-0.116034825,0.95488628,"not"
"86","strict female dominance","NDVI_Seasonality","Yes",-0.662801895,1.2856764,"not"
"87","strict male dominance","NDVI_Seasonality","No",-0.5103817,0.104892625,"not"
"88","strict male dominance","NDVI_Seasonality","Yes",-0.42809357,0.292236595,"not"
"89","perc_won","female_canine_height","No",-0.5882597,-0.44488771,"confident"
"90","perc_won","female_canine_height","Yes",-1.4640647,-0.61817212,"confident"
"91","strict three way","female_canine_height","No",-0.964935805,-0.2679986,"confident"
"92","strict three way","female_canine_height","Yes",-1.05484695,-0.313610175,"confident"
"93","strict female dominance","female_canine_height","No",-1.3007099,-0.321641475,"confident"
"94","strict female dominance","female_canine_height","Yes",-2.1583303,-0.642660005,"confident"
"95","strict male dominance","female_canine_height","No",0.0832485685,0.7114033,"confident"
"96","strict male dominance","female_canine_height","Yes",0.19209563,0.88722106,"confident"
"97","perc_won","male_canine_height","No",-1.1036385,-0.92494379,"confident"
"98","perc_won","male_canine_height","Yes",-1.19272035,-0.62779116,"confident"
"99","strict three way","male_canine_height","No",-1.6099599,-0.73231258,"confident"
"100","strict three way","male_canine_height","Yes",-1.59979035,-0.709983325,"confident"
"101","strict female dominance","male_canine_height","No",-1.22537475,-0.093740828,"confident"
"102","strict female dominance","male_canine_height","Yes",-2.2521052,-0.46779781,"confident"
"103","strict male dominance","male_canine_height","No",0.515379035,1.2489055,"confident"
"104","strict male dominance","male_canine_height","Yes",0.6179497,1.57051035,"confident"
"105","perc_won","females","No",-0.732111205,-0.593619,"confident"
"106","perc_won","females","Yes",-0.66867489,-0.20492474,"confident"
"107","strict three way","females","No",-0.57143754,0.0162888250000001,"not"
"108","strict three way","females","Yes",-0.599460955,0.00693420495000006,"not"
"109","strict female dominance","females","No",-0.504976935,0.53406029,"not"
"110","strict female dominance","females","Yes",-0.69002601,0.675497205,"not"
"111","strict male dominance","females","No",0.00168637077499999,0.56223697,"confident"
"112","strict male dominance","females","Yes",-0.00559694785,0.636525055,"not"
"113","perc_won","males","No",-0.29823033,-0.18420548,"confident"
"114","perc_won","males","Yes",-0.62696387,-0.149638535,"confident"
"115","strict three way","males","No",-0.06273246,0.50688418,"not"
"116","strict three way","males","Yes",0.0679409415,0.731675355,"confident"
"117","strict female dominance","males","No",-0.490173695,0.50545861,"not"
"118","strict female dominance","males","Yes",-0.80868221,0.595353265000001,"not"
"119","strict male dominance","males","No",-0.508932775,0.0415921900000001,"not"
"120","strict male dominance","males","Yes",-0.777751305,-0.0546526094999999,"confident"
"121","perc_won","homerange_overlap","No",-0.378497275,-0.261229,"confident"
"122","perc_won","homerange_overlap","Yes",-0.498113155,0.23695436,"not"
"123","strict three way","homerange_overlap","No",-0.311859065,0.41462296,"not"
"124","strict three way","homerange_overlap","Yes",-0.28945613,0.443071525,"not"
"125","strict female dominance","homerange_overlap","No",-0.166905045,0.96265969,"not"
"126","strict female dominance","homerange_overlap","Yes",0.040849735,2.021022,"confident"
"127","strict male dominance","homerange_overlap","No",-0.311938085,0.32099874,"not"
"128","strict male dominance","homerange_overlap","Yes",-0.376846745,0.357808075,"not"
"129","perc_won","perc_aggression_mm","No",0.646252525,0.798728265,"confident"
"130","perc_won","perc_aggression_mm","Yes",-0.361085885,0.10718275,"not"
"131","strict three way","perc_aggression_mm","No",0.20528934,1.4806492,"confident"
"132","strict three way","perc_aggression_mm","Yes",0.11993083,1.49041205,"confident"
"133","strict female dominance","perc_aggression_mm","No",-0.673554725,0.593422115,"not"
"134","strict female dominance","perc_aggression_mm","Yes",-1.2067941,0.96705689,"not"
"135","strict male dominance","perc_aggression_mm","No",-1.06447515,-0.0505311684999999,"confident"
"136","strict male dominance","perc_aggression_mm","Yes",-1.4724453,-0.118129875,"confident"
"137","perc_won","sexualreceptivity_hours","No",0.0765829105,0.24947896,"confident"
"138","perc_won","sexualreceptivity_hours","Yes",-0.612405255,0.360243485,"not"
"139","strict three way","sexualreceptivity_hours","No",-0.33536204,0.4833017,"not"
"140","strict three way","sexualreceptivity_hours","Yes",-0.4402812,0.387800215,"not"
"141","strict female dominance","sexualreceptivity_hours","No",-0.646103355,0.367016425,"not"
"142","strict female dominance","sexualreceptivity_hours","Yes",-1.3373405,0.142174205,"not"
"143","strict male dominance","sexualreceptivity_hours","No",-0.46505943,0.237095435,"not"
"144","strict male dominance","sexualreceptivity_hours","Yes",-0.47356046,0.37081437,"not"
"145","perc_won","receptive_synchrony","No",-0.870608875,-0.67268828,"confident"
"146","perc_won","receptive_synchrony","Yes",-2.8770687,-1.9509474,"confident"
"147","strict three way","receptive_synchrony","No",-0.045585486,0.61260521,"not"
"148","strict three way","receptive_synchrony","Yes",0.022454938,0.699818085,"confident"
"149","strict female dominance","receptive_synchrony","No",-0.17251277,0.815931355,"not"
"150","strict female dominance","receptive_synchrony","Yes",-0.154298385,1.2753626,"not"
"151","strict male dominance","receptive_synchrony","No",-0.52995786,0.0851239695,"not"
"152","strict male dominance","receptive_synchrony","Yes",-0.682093,0.0238767110000002,"not"
"153","perc_won","body_mass","No",-0.19447978,-0.0500186265,"confident"
"154","perc_won","body_mass","Yes",-0.73802962,-0.115927195,"confident"
"155","strict three way","body_mass","No",-0.70856493,0.0698808170000001,"not"
"156","strict three way","body_mass","Yes",-0.676571725,0.108347125,"not"
"157","strict female dominance","body_mass","No",-0.93761777,0.22409652,"not"
"158","strict female dominance","body_mass","Yes",-2.12269455,0.150334065,"not"
"159","strict male dominance","body_mass","No",-0.116806715,0.57543004,"not"
"160","strict male dominance","body_mass","Yes",-0.109139605,0.67717094,"not"
"161","perc_won","relative_testes_mass","No",-0.24494759,-0.111574265,"confident"
"162","perc_won","relative_testes_mass","Yes",-0.92060822,-0.0908379389999999,"confident"
"163","strict three way","relative_testes_mass","No",-0.396641685,0.202889385,"not"
"164","strict three way","relative_testes_mass","Yes",-0.45399169,0.200619915,"not"
"165","strict female dominance","relative_testes_mass","No",-0.554494145,0.447094045,"not"
"166","strict female dominance","relative_testes_mass","Yes",-0.83257664,0.629578465,"not"
"167","strict male dominance","relative_testes_mass","No",-0.204106675,0.38425884,"not"
"168","strict male dominance","relative_testes_mass","Yes",-0.24988633,0.437800685,"not"
"169","perc_won","relative_femalecaninesize","No",-0.28027209,-0.16171514,"confident"
"170","perc_won","relative_femalecaninesize","Yes",-0.20646934,0.492525615,"not"
"171","strict three way","relative_femalecaninesize","No",-0.08760416,0.55592425,"not"
"172","strict three way","relative_femalecaninesize","Yes",-0.103890565,0.54739868,"not"
"173","strict female dominance","relative_femalecaninesize","No",-0.735948245,0.23605815,"not"
"174","strict female dominance","relative_femalecaninesize","Yes",-0.93795411,0.334355455,"not"
"175","strict male dominance","relative_femalecaninesize","No",-0.58881305,0.011558805,"not"
"176","strict male dominance","relative_femalecaninesize","Yes",-0.614358255,0.04067273,"not"
"177","perc_won","SocOrgPMK P minus G","No",0.491216217290737,0.663146246073549,"confident"
"178","perc_won","SocOrgPMK P minus G","Yes",0.219629057088367,0.637426009006034,"confident"
"179","strict three way","SocOrgPMK P minus G","No",-0.0739088979069199,0.361787524882327,"not"
"180","strict three way","SocOrgPMK P minus G","Yes",-0.0787615451399238,0.357293384157345,"not"
"181","strict female dominance","SocOrgPMK P minus G","No",0.150110194281155,0.514148193292294,"confident"
"182","strict female dominance","SocOrgPMK P minus G","Yes",-0.199289831645671,0.308340340102873,"not"
"183","strict male dominance","SocOrgPMK P minus G","No",-0.255633230151408,0.107016563117739,"not"
"184","strict male dominance","SocOrgPMK P minus G","Yes",-0.362587997250844,0.0954280908257061,"not"
"185","perc_won","MatSysPMK PAN minus MON","No",-0.480730923382911,-0.244194118840234,"confident"
"186","perc_won","MatSysPMK POL minus MON","No",-0.706911903464997,-0.566470320654284,"confident"
"187","perc_won","MatSysPMK PRO minus MON","No",-0.642646860332791,-0.480364642800798,"confident"
"188","perc_won","MatSysPMK POL minus PAN","No",-0.370131645726518,-0.18316894092479,"confident"
"189","perc_won","MatSysPMK PRO minus PAN","No",-0.289390796986524,-0.124030616069298,"confident"
"190","perc_won","MatSysPMK PRO minus POL","No",0.0417001746524797,0.10933776719332,"confident"
"191","perc_won","MatSysPMK PAN minus MON","Yes",-0.416080013313911,0.245448566998386,"not"
"192","perc_won","MatSysPMK POL minus MON","Yes",-0.676644127433873,-0.284071748264292,"confident"
"193","perc_won","MatSysPMK PRO minus MON","Yes",-0.220507331374921,0.242458550739881,"not"
"194","perc_won","MatSysPMK POL minus PAN","Yes",-0.664529918127308,-0.131766309849214,"confident"
"195","perc_won","MatSysPMK PRO minus PAN","Yes",-0.175968218478619,0.385620422383189,"not"
"196","perc_won","MatSysPMK PRO minus POL","Yes",0.34627823719826,0.628986398055804,"confident"
"197","strict three way","MatSysPMK PAN minus MON","No",-0.294999834395102,0.201829690418444,"not"
"198","strict three way","MatSysPMK POL minus MON","No",-0.442245616370342,-0.0151759875699028,"confident"
"199","strict three way","MatSysPMK PRO minus MON","No",-0.290088855590486,0.128037293476509,"not"
"200","strict three way","MatSysPMK POL minus PAN","No",-0.401542781879516,0.0423342242976834,"not"
"201","strict three way","MatSysPMK PRO minus PAN","No",-0.257718607763969,0.191302756417618,"not"
"202","strict three way","MatSysPMK PRO minus POL","No",0.010897894952563,0.290902221313929,"confident"
"203","strict three way","MatSysPMK PAN minus MON","Yes",-0.308794240179538,0.217641263352088,"not"
"204","strict three way","MatSysPMK POL minus MON","Yes",-0.440326014413592,-0.017789357835723,"confident"
"205","strict three way","MatSysPMK PRO minus MON","Yes",-0.258754222577923,0.149346302143915,"not"
"206","strict three way","MatSysPMK POL minus PAN","Yes",-0.410091346548173,0.0568854102752125,"not"
"207","strict three way","MatSysPMK PRO minus PAN","Yes",-0.236104796760228,0.227426938026423,"not"
"208","strict three way","MatSysPMK PRO minus POL","Yes",0.0302062234893975,0.319875590947913,"confident"
"209","strict female dominance","MatSysPMK PAN minus MON","No",-0.174249365801638,0.312875101346334,"not"
"210","strict female dominance","MatSysPMK POL minus MON","No",-0.367928153571481,0.00986172071054882,"not"
"211","strict female dominance","MatSysPMK PRO minus MON","No",-0.44687587775045,-0.114800884099353,"confident"
"212","strict female dominance","MatSysPMK POL minus PAN","No",-0.457609808987935,-0.044856566478495,"confident"
"213","strict female dominance","MatSysPMK PRO minus PAN","No",-0.539500499609112,-0.16475001566974,"confident"
"214","strict female dominance","MatSysPMK PRO minus POL","No",-0.214859399089853,0.00301204938472394,"not"
"215","strict female dominance","MatSysPMK PAN minus MON","Yes",-0.247482953131784,0.278692421707905,"not"
"216","strict female dominance","MatSysPMK POL minus MON","Yes",-0.281971198344394,0.240368930555853,"not"
"217","strict female dominance","MatSysPMK PRO minus MON","Yes",-0.246907761120911,0.232158177854798,"not"
"218","strict female dominance","MatSysPMK POL minus PAN","Yes",-0.308201110835565,0.218730263719192,"not"
"219","strict female dominance","MatSysPMK PRO minus PAN","Yes",-0.26451837380883,0.231542592947871,"not"
"220","strict female dominance","MatSysPMK PRO minus POL","Yes",-0.211296268152632,0.278659380732531,"not"
"221","strict male dominance","MatSysPMK PAN minus MON","No",-0.171171775060689,0.3131252870546,"not"
"222","strict male dominance","MatSysPMK POL minus MON","No",0.000417566377944752,0.416484320507234,"confident"
"223","strict male dominance","MatSysPMK PRO minus MON","No",-0.13313061591291,0.219754491992551,"not"
"224","strict male dominance","MatSysPMK POL minus PAN","No",-0.073268744609107,0.365264384181296,"not"
"225","strict male dominance","MatSysPMK PRO minus PAN","No",-0.217510055396016,0.170475952170623,"not"
"226","strict male dominance","MatSysPMK PRO minus POL","No",-0.304453948729649,-0.0362335807390956,"confident"
"227","strict male dominance","MatSysPMK PAN minus MON","Yes",-0.197901099602067,0.301662405053118,"not"
"228","strict male dominance","MatSysPMK POL minus MON","Yes",0.0146179527937479,0.460341093471552,"confident"
"229","strict male dominance","MatSysPMK PRO minus MON","Yes",-0.154690227965983,0.267118519760448,"not"
"230","strict male dominance","MatSysPMK POL minus PAN","Yes",-0.0578308791663936,0.403870093796182,"not"
"231","strict male dominance","MatSysPMK PRO minus PAN","Yes",-0.237949412133478,0.229939786981624,"not"
"232","strict male dominance","MatSysPMK PRO minus POL","Yes",-0.325799819784137,-0.0321338908019004,"confident"
"233","perc_won","female_dispersal Yes minus No","No",0.03368723477351,0.0952008971271738,"confident"
"234","perc_won","female_dispersal Yes minus No","Yes",0.246936879450269,0.523512441259986,"confident"
"235","strict three way","female_dispersal Yes minus No","No",-0.197246368110869,0.0995734610297069,"not"
"236","strict three way","female_dispersal Yes minus No","Yes",-0.217197857936423,0.106479057573373,"not"
"237","strict female dominance","female_dispersal Yes minus No","No",-0.021622336124374,0.197850196773495,"not"
"238","strict female dominance","female_dispersal Yes minus No","Yes",-0.250121355942494,0.207346486295596,"not"
"239","strict male dominance","female_dispersal Yes minus No","No",-0.12052507517864,0.175159356372069,"not"
"240","strict male dominance","female_dispersal Yes minus No","Yes",-0.0962261606424233,0.19904158583318,"not"
"241","perc_won","male_dispersal Yes minus No","No",-0.0822438791014115,-0.0201738637138369,"confident"
"242","perc_won","male_dispersal Yes minus No","Yes",-0.567337996274089,-0.267072201051201,"confident"
"243","strict three way","male_dispersal Yes minus No","No",-0.0832559045128526,0.244133382129512,"not"
"244","strict three way","male_dispersal Yes minus No","Yes",-0.0857594249529434,0.243972582001098,"not"
"245","strict female dominance","male_dispersal Yes minus No","No",-0.247810676945139,-0.00206355382710042,"confident"
"246","strict female dominance","male_dispersal Yes minus No","Yes",-0.238892952858888,0.239001421545273,"not"
"247","strict male dominance","male_dispersal Yes minus No","No",-0.207686453314142,0.096877222173774,"not"
"248","strict male dominance","male_dispersal Yes minus No","Yes",-0.238442379913229,0.0839518026225072,"not"
"249","perc_won","sexbias_dispersal Female minus Both","No",-0.0840440368755662,0.0305161376113618,"not"
"250","perc_won","sexbias_dispersal Male minus Both","No",-0.14183021905634,-0.0266332109327879,"confident"
"251","perc_won","sexbias_dispersal Male minus Female","No",-0.0910368494402142,-0.0273564221857362,"confident"
"252","perc_won","sexbias_dispersal Female minus Both","Yes",-0.0649647538526773,0.455808737652523,"not"
"253","perc_won","sexbias_dispersal Male minus Both","Yes",-0.467117519903289,-0.0345537163586646,"confident"
"254","perc_won","sexbias_dispersal Male minus Female","Yes",-0.57884988599343,-0.283951972504117,"confident"
"255","strict three way","sexbias_dispersal Female minus Both","No",-0.291518724891415,0.113762634503415,"not"
"256","strict three way","sexbias_dispersal Male minus Both","No",-0.213181285286051,0.173608058674365,"not"
"257","strict three way","sexbias_dispersal Male minus Female","No",-0.0864659625326521,0.232701696873033,"not"
"258","strict three way","sexbias_dispersal Female minus Both","Yes",-0.303592089278453,0.119248139227631,"not"
"259","strict three way","sexbias_dispersal Male minus Both","Yes",-0.21857456007842,0.178069759611049,"not"
"260","strict three way","sexbias_dispersal Male minus Female","Yes",-0.100781142898089,0.226537524092107,"not"
"261","strict female dominance","sexbias_dispersal Female minus Both","No",-0.310832970962282,0.0722034289057368,"not"
"262","strict female dominance","sexbias_dispersal Male minus Both","No",-0.399800088592766,-0.0858161070051466,"confident"
"263","strict female dominance","sexbias_dispersal Male minus Female","No",-0.244645614442626,0.000314641341999604,"not"
"264","strict female dominance","sexbias_dispersal Female minus Both","Yes",-0.284087355171251,0.240074185475194,"not"
"265","strict female dominance","sexbias_dispersal Male minus Both","Yes",-0.258101845046785,0.232085304567314,"not"
"266","strict female dominance","sexbias_dispersal Male minus Female","Yes",-0.228592050642689,0.241707777744054,"not"
"267","strict male dominance","sexbias_dispersal Female minus Both","No",-0.0998100996379389,0.323437281008917,"not"
"268","strict male dominance","sexbias_dispersal Male minus Both","No",-0.111191818362133,0.248705388468284,"not"
"269","strict male dominance","sexbias_dispersal Male minus Female","No",-0.20188268567081,0.103689028524771,"not"
"270","strict male dominance","sexbias_dispersal Female minus Both","Yes",-0.125508061279728,0.302898712794315,"not"
"271","strict male dominance","sexbias_dispersal Male minus Both","Yes",-0.175634393286234,0.214373199633929,"not"
"272","strict male dominance","sexbias_dispersal Male minus Female","Yes",-0.238525767049615,0.0871403821143325,"not"
"273","perc_won","jointaggression_females Yes minus No","No",-0.110282262802172,-0.0396160961797658,"confident"
"274","perc_won","jointaggression_females Yes minus No","Yes",-0.609607466724289,-0.203347730165777,"confident"
"275","strict three way","jointaggression_females Yes minus No","No",-0.156384517419175,0.138426758516945,"not"
"276","strict three way","jointaggression_females Yes minus No","Yes",-0.282150355077029,0.0661317696001728,"not"
"277","strict female dominance","jointaggression_females Yes minus No","No",-0.208344624428826,0.0138262542042415,"not"
"278","strict female dominance","jointaggression_females Yes minus No","Yes",-0.185299700188683,0.279693531500045,"not"
"279","strict male dominance","jointaggression_females Yes minus No","No",-0.125827917579102,0.169896456105594,"not"
"280","strict male dominance","jointaggression_females Yes minus No","Yes",-0.0515519966783772,0.309980148470913,"not"
"281","perc_won","jointaggression_males Yes minus No","No",0.0806416922560406,0.150553072937361,"confident"
"282","perc_won","jointaggression_males Yes minus No","Yes",0.160993590848183,0.56546844877477,"confident"
"283","strict three way","jointaggression_males Yes minus No","No",-0.192682316572427,0.068085559631394,"not"
"284","strict three way","jointaggression_males Yes minus No","Yes",-0.15738201917515,0.12591785546962,"not"
"285","strict female dominance","jointaggression_males Yes minus No","No",-0.067277715824121,0.107185583693726,"not"
"286","strict female dominance","jointaggression_males Yes minus No","Yes",-0.326986560782874,0.106552357133951,"not"
"287","strict male dominance","jointaggression_males Yes minus No","No",-0.0881239177679878,0.177499312749329,"not"
"288","strict male dominance","jointaggression_males Yes minus No","Yes",-0.151547970924571,0.138625120893099,"not"
"289","perc_won","female_evictions Yes minus No","No",-0.710350431616719,-0.347777517107974,"confident"
"290","perc_won","female_evictions Yes minus No","Yes",-0.615202264238654,-0.0127285967350391,"confident"
"291","strict three way","female_evictions Yes minus No","No",-0.346857738418761,0.0796528760639415,"not"
"292","strict three way","female_evictions Yes minus No","Yes",-0.335324754782128,0.0970345158394994,"not"
"293","strict female dominance","female_evictions Yes minus No","No",0.095396877963346,0.415877912742645,"confident"
"294","strict female dominance","female_evictions Yes minus No","Yes",-0.161785715127395,0.32642369480007,"not"
"295","strict male dominance","female_evictions Yes minus No","No",-0.173114722035515,0.179730886792365,"not"
"296","strict male dominance","female_evictions Yes minus No","Yes",-0.134769511390842,0.300970771063724,"not"
"297","perc_won","female_infanticide Yes minus No","No",-0.307967201900452,-0.139550507597213,"confident"
"298","perc_won","female_infanticide Yes minus No","Yes",-0.394505612568254,-0.0717870849089179,"confident"
"299","strict three way","female_infanticide Yes minus No","No",-0.256303662976175,0.0561003323826491,"not"
"300","strict three way","female_infanticide Yes minus No","Yes",-0.264310443297134,0.0475616380916511,"not"
"301","strict female dominance","female_infanticide Yes minus No","No",-0.0023177010555295,0.205946113212063,"not"
"302","strict female dominance","female_infanticide Yes minus No","Yes",-0.22969306717628,0.268244907938495,"not"
"303","strict male dominance","female_infanticide Yes minus No","No",-0.0769081543108752,0.215214122281252,"not"
"304","strict male dominance","female_infanticide Yes minus No","Yes",-0.0539627826748222,0.261032777173616,"not"
"305","perc_won","ovulation_signs Exaggerated minus Absent","No",-0.199383324749793,-0.121772067445209,"confident"
"306","perc_won","ovulation_signs Present minus Absent","No",-0.357517541690798,-0.237360770190191,"confident"
"307","perc_won","ovulation_signs Present minus Exaggerated","No",-0.194257353999973,-0.0931734717150937,"confident"
"308","perc_won","ovulation_signs Exaggerated minus Absent","Yes",-0.69043057604118,-0.209784920047788,"confident"
"309","perc_won","ovulation_signs Present minus Absent","Yes",-0.721095123778837,-0.430600469426117,"confident"
"310","perc_won","ovulation_signs Present minus Exaggerated","Yes",-0.35142089364095,0.0703484532010722,"not"
"311","strict three way","ovulation_signs Exaggerated minus Absent","No",-0.256645273702888,0.0467815979458235,"not"
"312","strict three way","ovulation_signs Present minus Absent","No",-0.217233808349803,0.0895209237928711,"not"
"313","strict three way","ovulation_signs Present minus Exaggerated","No",-0.0943508330161442,0.182685003268887,"not"
"314","strict three way","ovulation_signs Exaggerated minus Absent","Yes",-0.301077824893563,0.0361902514118956,"not"
"315","strict three way","ovulation_signs Present minus Absent","Yes",-0.207299623444016,0.102009213360073,"not"
"316","strict three way","ovulation_signs Present minus Exaggerated","Yes",-0.0675377490564526,0.245032034519629,"not"
"317","strict female dominance","ovulation_signs Exaggerated minus Absent","No",-0.16834780697743,0.06768159468214,"not"
"318","strict female dominance","ovulation_signs Present minus Absent","No",-0.184215332946757,0.061883821971288,"not"
"319","strict female dominance","ovulation_signs Present minus Exaggerated","No",-0.110389004834616,0.0828970658167319,"not"
"320","strict female dominance","ovulation_signs Exaggerated minus Absent","Yes",-0.303737987401387,0.157748427838699,"not"
"321","strict female dominance","ovulation_signs Present minus Absent","Yes",-0.266595129987978,0.200043511731736,"not"
"322","strict female dominance","ovulation_signs Present minus Exaggerated","Yes",-0.188262811854458,0.278330247495159,"not"
